username,password,role
admin,admin123,admin
operador,operador123,operator
8927240000000,12345678,tendero
8429210000000000000,cliente123,tendero
3037320000000000000,cliente123,tendero
3649870000000000000,cliente123,tendero
3451340000000000000,cliente123,tendero
4282640000000000000,cliente123,tendero
3933590000000000000,cliente123,tendero
610791000000000000,cliente123,tendero
2887640000000000000,cliente123,tendero
2822480000000000000,cliente123,tendero
1310450000000000000,cliente123,tendero
2598790000000000000,cliente123,tendero
4960710000000000000,cliente123,tendero
4346540000000000000,cliente123,tendero
6424660000000000000,cliente123,tendero
6600460000000000000,cliente123,tendero
4281820000000000000,cliente123,tendero
1730500000000000000,cliente123,tendero
1728320000000000000,cliente123,tendero
387064000000000000,cliente123,tendero
5483640000000000000,cliente123,tendero
1281020000000000000,cliente123,tendero
8293440000000000000,cliente123,tendero
4486810000000000000,cliente123,tendero
2948340000000000000,cliente123,tendero
8763610000000000000,cliente123,tendero
5121130000000000000,cliente123,tendero
295721000000000000,cliente123,tendero
154186000000000000,cliente123,tendero
7416770000000000000,cliente123,tendero
1499070000000000000,cliente123,tendero
5169860000000000000,cliente123,tendero
448710000000000000,cliente123,tendero
2006590000000000000,cliente123,tendero
2282270000000000000,cliente123,tendero
5770390000000000000,cliente123,tendero
3366340000000000000,cliente123,tendero
4068830000000000000,cliente123,tendero
4754160000000000000,cliente123,tendero
5909800000000000000,cliente123,tendero
2204530000000000000,cliente123,tendero
6551370000000000000,cliente123,tendero
6623730000000000000,cliente123,tendero
8924470000000000000,cliente123,tendero
5926320000000000000,cliente123,tendero
3477060000000000000,cliente123,tendero
2756650000000000000,cliente123,tendero
1901320000000000000,cliente123,tendero
5199000000000000000,cliente123,tendero
3275650000000000000,cliente123,tendero
1631800000000000000,cliente123,tendero
8724850000000000000,cliente123,tendero
8635510000000000000,cliente123,tendero
9050010000000000000,cliente123,tendero
8132970000000000000,cliente123,tendero
1093090000000000000,cliente123,tendero
4040860000000000000,cliente123,tendero
585881000000000000,cliente123,tendero
9093610000000000000,cliente123,tendero
1302590000000000000,cliente123,tendero
1037770000000000000,cliente123,tendero
8529170000000000000,cliente123,tendero
244513000000000000,cliente123,tendero
7121440000000000000,cliente123,tendero
1940850000000000000,cliente123,tendero
6478520000000000000,cliente123,tendero
1599680000000000000,cliente123,tendero
5708250000000000000,cliente123,tendero
5048940000000000000,cliente123,tendero
3499780000000000000,cliente123,tendero
1803190000000000000,cliente123,tendero
1536240000000000000,cliente123,tendero
476947000000000000,cliente123,tendero
3557780000000000000,cliente123,tendero
2959290000000000000,cliente123,tendero
1213950000000000000,cliente123,tendero
2779730000000000000,cliente123,tendero
7269230000000000000,cliente123,tendero
4836810000000000000,cliente123,tendero
5982510000000000000,cliente123,tendero
8832300000000000000,cliente123,tendero
8407780000000000000,cliente123,tendero
8625490000000000000,cliente123,tendero
9050050000000000000,cliente123,tendero
5843020000000000000,cliente123,tendero
2692270000000000000,cliente123,tendero
5992540000000000000,cliente123,tendero
833039000000000000,cliente123,tendero
6985700000000000000,cliente123,tendero
749878000000000000,cliente123,tendero
2650340000000000000,cliente123,tendero
655983000000000000,cliente123,tendero
8422510000000000000,cliente123,tendero
5803620000000000000,cliente123,tendero
5392240000000000000,cliente123,tendero
5805760000000000000,cliente123,tendero
2831000000000000000,cliente123,tendero
2022230000000000000,cliente123,tendero
4988310000000000000,cliente123,tendero
2134860000000000000,cliente123,tendero
6345150000000000000,cliente123,tendero
5417180000000000000,cliente123,tendero
